,win,loss,day1,day2,win_rate,conversion_rate(day2:day1)
Ursaluna,338,323,85,11,0.5113,0.9059
Jumpluff,44,45,11,2,0.4944,1.2727
Charizard,61,61,15,1,0.5,0.4667
Torkoal,154,175,43,3,0.4681,0.4884
Incineroar,599,588,147,31,0.5046,1.4762
Porygon2,222,233,59,9,0.4879,1.0678
Archaludon,486,465,120,20,0.511,1.1667
Dragonite,619,559,147,25,0.5255,1.1905
Pelipper,362,364,92,15,0.4986,1.1413
Sinistcha,127,101,28,7,0.557,1.75
Gholdengo,648,583,150,29,0.5264,1.3533
Kommo-o,46,34,10,3,0.575,2.1
Sneasler,822,783,204,32,0.5121,1.098
Rillaboom,665,663,170,27,0.5008,1.1118
Dondozo,163,126,36,7,0.564,1.3611
Electabuzz,323,281,75,12,0.5348,1.12
Baxcalibur,56,54,15,1,0.5091,0.4667
Basculegion,281,259,68,12,0.5204,1.2353
Volcarona,280,247,67,8,0.5313,0.8358
Kingambit,476,515,132,13,0.4803,0.6894
Annihilape,242,194,53,12,0.555,1.5849
Ursaluna-Bloodmoon,300,261,68,15,0.5348,1.5441
Talonflame,196,191,50,7,0.5065,0.98
Indeedee,174,166,43,3,0.5118,0.4884
Whimsicott,103,143,32,2,0.4187,0.4375
Tatsugiri,83,69,19,2,0.5461,0.7368
Corviknight,43,39,10,1,0.5244,0.7
Tyranitar,108,118,29,4,0.4779,0.9655
Garchomp,206,248,59,2,0.4537,0.2373
Dragapult,166,187,45,7,0.4703,1.0889
Kilowattrel,42,44,11,2,0.4884,1.2727
Amoonguss,365,400,97,13,0.4771,0.9381
Ninetales-Alola,198,197,49,5,0.5013,0.7143
Arcanine,22,9,3,2,0.7097,4.6667
Primarina,182,232,55,7,0.4396,0.8909
Murkrow,87,76,20,2,0.5337,0.7
Magmar,102,118,30,4,0.4636,0.9333
Vivillon,23,20,5,1,0.5349,1.4
Indeedee-F,142,160,40,3,0.4702,0.525
Farigiraf,43,49,13,1,0.4674,0.5385
Armarouge,52,58,16,1,0.4727,0.4375
Snorlax,7,3,1,1,0.7,7.0
Maushold,106,115,28,5,0.4796,1.25
Zoroark-Hisui,22,20,5,1,0.5238,1.4
Arcanine-Hisui,34,31,8,1,0.5231,0.875
Gastrodon,62,54,14,3,0.5345,1.5
Delphox,40,42,10,1,0.4878,0.7
Meowscarada,17,18,5,1,0.4857,1.4
Flamigo,39,41,10,1,0.4875,0.7
Hydreigon,36,37,9,2,0.4932,1.5556
Grimmsnarl,44,39,11,2,0.5301,1.2727
Gliscor,19,16,4,2,0.5429,3.5
Mienshao,7,3,1,1,0.7,7.0
Garganacl,20,14,4,1,0.5882,1.75
Typhlosion-Hisui,48,64,14,2,0.4286,1.0
Clefable,27,37,9,1,0.4219,0.7778
Clefairy,16,20,5,1,0.4444,1.4
Gallade,64,68,18,0,0.4848,0.0
Exeggutor,20,24,6,0,0.4545,0.0
Lilligant-Hisui,27,32,8,0,0.4576,0.0
Hatterene,45,53,13,0,0.4592,0.0
Slowbro,5,3,1,0,0.625,0.0
Tauros-Paldea-Aqua,8,8,2,0,0.5,0.0
Chandelure,7,6,2,0,0.5385,0.0
Malamar,8,8,2,0,0.5,0.0
Ninetales,8,8,2,0,0.5,0.0
Ludicolo,5,3,1,0,0.625,0.0
Blaziken,10,12,3,0,0.4545,0.0
Politoed,11,11,3,0,0.5,0.0
Gothitelle,5,4,2,0,0.5556,0.0
Overqwil,9,7,2,0,0.5625,0.0
Typhlosion,5,3,1,0,0.625,0.0
Gardevoir,5,3,1,0,0.625,0.0
Quaquaval,7,9,2,0,0.4375,0.0
Weavile,22,17,5,0,0.5641,0.0
Klefki,9,7,2,0,0.5625,0.0
Glimmora,12,18,5,0,0.4,0.0
Glaceon,5,3,1,0,0.625,0.0
Poliwrath,5,3,1,0,0.625,0.0
Ceruledge,24,29,7,0,0.4528,0.0
Brambleghast,5,3,1,0,0.625,0.0
Palafin,5,3,1,0,0.625,0.0
Weezing,5,3,1,0,0.625,0.0
Salamence,13,17,4,0,0.4333,0.0
Decidueye-Hisui,12,12,3,0,0.5,0.0
Tsareena,4,4,1,0,0.5,0.0
Venusaur,4,4,1,0,0.5,0.0
Gyarados,15,17,4,0,0.4688,0.0
Pawmot,8,8,2,0,0.5,0.0
Milotic,12,16,4,0,0.4286,0.0
Gengar,6,7,2,0,0.4615,0.0
Excadrill,16,25,6,0,0.3902,0.0
Comfey,4,4,1,0,0.5,0.0
Clawitzer,4,4,1,0,0.5,0.0
Sableye,14,23,5,0,0.3784,0.0
Dusclops,11,18,4,0,0.3793,0.0
Metagross,6,10,2,0,0.375,0.0
Rotom-Heat,8,12,3,0,0.4,0.0
Empoleon,4,4,1,0,0.5,0.0
Unknown,3,3,1,0,0.5,0.0
Houndstone,3,5,1,0,0.375,0.0
Samurott-Hisui,3,5,1,0,0.375,0.0
Haxorus,3,5,1,0,0.375,0.0
Oranguru,3,5,1,0,0.375,0.0
Weezing-Galar,3,9,2,0,0.25,0.0
Yanmega,3,8,2,0,0.2727,0.0
Slowking-Galar,3,5,1,0,0.375,0.0
Lycanroc,4,10,2,0,0.2857,0.0
Scizor,3,7,2,0,0.3,0.0
Orthworm,4,12,2,0,0.25,0.0
Mimikyu,3,5,1,0,0.375,0.0
Blastoise,2,3,1,0,0.4,0.0
Tinkaton,2,6,1,0,0.25,0.0
Mamoswine,3,8,2,0,0.2727,0.0
Sneasel-Hisui,2,6,1,0,0.25,0.0
Krookodile,2,6,1,0,0.25,0.0
Smeargle,3,10,2,0,0.2308,0.0
Clodsire,1,2,1,0,0.3333,0.0
Volbeat,1,3,1,0,0.25,0.0
Hydrapple,1,5,1,0,0.1667,0.0
Jolteon,1,6,1,0,0.1429,0.0
Goodra-Hisui,1,7,1,0,0.125,0.0
Lapras,0,1,1,0,0.0,0.0
Staraptor,0,1,1,0,0.0,0.0
Fuecoco,0,2,1,0,0.0,0.0
Umbreon,0,4,1,0,0.0,0.0
