,win,loss,day1,day2,win_rate,conversion_rate(day2:day1)
Sneasler,1066,980,247,44,0.521,1.2221
Electabuzz,343,351,87,10,0.4942,0.7886
Ursaluna-Bloodmoon,449,400,102,20,0.5289,1.3452
Incineroar,775,702,178,32,0.5247,1.2333
Talonflame,174,141,39,8,0.5524,1.4073
Indeedee,226,200,50,9,0.5305,1.2349
Garchomp,227,215,55,8,0.5136,0.9979
Jumpluff,108,111,27,4,0.4932,1.0164
Torkoal,203,233,55,7,0.4656,0.8732
Dragonite,746,638,169,29,0.539,1.1772
Kingambit,459,495,121,14,0.4811,0.7938
Typhlosion-Hisui,107,98,25,5,0.522,1.3721
Archaludon,707,681,171,27,0.5094,1.0832
Amoonguss,485,421,108,24,0.5353,1.5245
Corviknight,80,79,20,3,0.5031,1.0291
Hydreigon,59,57,15,4,0.5086,1.8295
Palafin,41,39,9,2,0.5125,1.5245
Gholdengo,855,754,195,37,0.5314,1.3017
Pelipper,595,553,141,23,0.5183,1.1191
Excadrill,64,47,13,2,0.5766,1.0555
Tyranitar,176,172,44,3,0.5057,0.4678
Annihilape,359,362,91,11,0.4979,0.8293
Maushold,139,151,36,4,0.4793,0.7623
Porygon2,269,258,64,13,0.5104,1.3935
Sinistcha,258,221,56,12,0.5386,1.4701
Ursaluna,471,401,103,22,0.5401,1.4653
Hatterene,42,36,10,1,0.5385,0.686
Indeedee-F,160,198,47,4,0.4469,0.5839
Gallade,62,64,16,1,0.4921,0.4288
Basculegion,373,368,94,13,0.5034,0.9488
Grimmsnarl,108,102,26,3,0.5143,0.7916
Kommo-o,117,105,26,5,0.527,1.3193
Rillaboom,690,747,183,20,0.4802,0.7498
Glimmora,45,48,12,2,0.4839,1.1434
Dragapult,158,168,42,5,0.4847,0.8167
Whimsicott,205,229,54,7,0.4724,0.8893
Murkrow,93,111,27,2,0.4559,0.5082
Ninetales-Alola,254,277,66,9,0.4783,0.9355
Dondozo,207,187,49,6,0.5254,0.8401
Tatsugiri,102,82,22,5,0.5543,1.5592
Ceruledge,30,27,7,1,0.5263,0.9801
Farigiraf,111,125,30,2,0.4703,0.4574
Vivillon,41,30,9,3,0.5775,2.2868
Primarina,216,230,58,5,0.4843,0.5914
Volcarona,283,306,73,8,0.4805,0.7518
Baxcalibur,84,106,25,1,0.4421,0.2744
Arcanine,22,16,4,2,0.5789,3.4302
