,win,loss,day1,day2,win_rate,conversion_rate(day2:day1)
Incineroar,1141,1076,272,45,0.5147,1.1891
Gholdengo,970,864,218,42,0.5289,1.3847
Dragonite,865,744,191,38,0.5376,1.43
Sneasler,1089,1124,276,37,0.4921,0.9635
Archaludon,706,651,163,33,0.5203,1.4551
Pelipper,622,574,144,31,0.5201,1.5473
Amoonguss,484,445,110,26,0.521,1.6989
Rillaboom,859,874,213,26,0.4957,0.8773
Ursaluna-Bloodmoon,680,605,156,24,0.5292,1.1058
Ursaluna,532,476,122,23,0.5278,1.355
Basculegion,440,392,101,20,0.5288,1.4233
Sinistcha,340,275,72,18,0.5528,1.7969
Annihilape,441,421,103,16,0.5116,1.1165
Volcarona,345,309,78,13,0.5275,1.1979
Indeedee,358,349,88,13,0.5064,1.0618
Electabuzz,573,569,142,13,0.5018,0.658
Tyranitar,241,236,58,10,0.5052,1.2392
Kingambit,440,470,116,10,0.4835,0.6196
Talonflame,359,385,92,9,0.4825,0.7031
Indeedee-F,186,200,48,8,0.4819,1.1979
Porygon2,270,287,71,8,0.4847,0.8099
Garchomp,284,315,73,8,0.4741,0.7877
Ninetales-Alola,296,286,72,7,0.5086,0.6988
Hatterene,114,100,25,6,0.5327,1.725
Maushold,163,177,41,6,0.4794,1.0518
Whimsicott,171,188,45,6,0.4763,0.9583
Torkoal,244,255,63,6,0.489,0.6845
Dondozo,168,194,46,5,0.4641,0.7812
Arcanine-Hisui,46,31,8,4,0.5974,3.5937
Gallade,95,81,21,4,0.5398,1.369
Murkrow,81,78,20,3,0.5094,1.0781
Kommo-o,84,77,20,3,0.5217,1.0781
Tatsugiri,77,77,20,3,0.5,1.0781
Baxcalibur,110,120,28,3,0.4783,0.7701
Magmar,156,175,42,3,0.4713,0.5134
Dragapult,180,243,56,3,0.4255,0.385
Milotic,24,20,5,2,0.5455,2.875
Zoroark-Hisui,40,45,10,2,0.4706,1.4375
Delphox,42,42,11,2,0.5,1.3068
Kilowattrel,56,46,12,2,0.549,1.1979
Weezing-Galar,48,57,13,2,0.4571,1.1058
Armarouge,64,71,17,2,0.4741,0.8456
Excadrill,70,71,18,2,0.4965,0.7986
Hydreigon,70,91,20,2,0.4348,0.7188
Charizard,98,105,26,2,0.4828,0.5529
Typhlosion-Hisui,112,120,30,2,0.4828,0.4792
Primarina,217,267,64,2,0.4483,0.2246
Araquanid,8,3,1,1,0.7273,7.1875
Arboliva,9,10,2,1,0.4737,3.5937
Slaking,11,8,2,1,0.5789,3.5937
Overqwil,11,8,2,1,0.5789,3.5937
Yanmega,18,9,3,1,0.6667,2.3958
Ribombee,13,14,3,1,0.4815,2.3958
Clefairy,14,21,4,1,0.4,1.7969
Politoed,12,13,4,1,0.48,1.7969
Drifblim,25,19,5,1,0.5682,1.4375
Klefki,28,23,6,1,0.549,1.1979
Toedscruel,28,26,7,1,0.5185,1.0268
Exeggutor,31,28,7,1,0.5254,1.0268
Chandelure,41,34,9,1,0.5467,0.7986
Gastrodon,33,39,9,1,0.4583,0.7986
Glimmora,39,34,9,1,0.5342,0.7986
Lilligant-Hisui,34,44,10,1,0.4359,0.7188
Flamigo,40,39,10,1,0.5063,0.7188
Vivillon,44,51,12,1,0.4632,0.599
Clefable,42,51,12,1,0.4516,0.599
